Cabo Verde, https://en.wikipedia.org/wiki/Cabo_Verde, 16 September 1975, No, 
Cambodia, https://en.wikipedia.org/wiki/Cambodia, 14 December 1955, No, 
Cameroon, https://en.wikipedia.org/wiki/Cameroon, 20 September 1960, No, 
Canada, https://en.wikipedia.org/wiki/Canada, 9 November 1945, Yes, Canada and the United Nations
Central African Republic, https://en.wikipedia.org/wiki/Central_African_Republic, 20 September 1960, No, 
Chad, https://en.wikipedia.org/wiki/Chad, 20 September 1960, No, 
Chile, https://en.wikipedia.org/wiki/Chile, 24 October 1945, Yes, 
China, https://en.wikipedia.org/wiki/China, 24 October 1945, Yes, Former member: Republic of China and China and the United Nations
Colombia, https://en.wikipedia.org/wiki/Colombia, 5 November 1945, Yes, 
Comoros, https://en.wikipedia.org/wiki/Comoros, 12 November 1975, No, 
Congo, https://en.wikipedia.org/wiki/Republic_of_the_Congo, 20 September 1960, No, 
Costa Rica, https://en.wikipedia.org/wiki/Costa_Rica, 2 November 1945, Yes, Costa Rica and the United Nations
Côte d'Ivoire, https://en.wikipedia.org/wiki/C%C3%B4te_d%27Ivoire, 20 September 1960, No, 
Croatia, https://en.wikipedia.org/wiki/Croatia, 22 May 1992, No, Former member: Yugoslavia (original member)
Cuba, https://en.wikipedia.org/wiki/Cuba, 24 October 1945, Yes, 
Cyprus, https://en.wikipedia.org/wiki/Cyprus, 20 September 1960, No, 
Czechia, https://en.wikipedia.org/wiki/Czechia, 19 January 1993, No, Former member: Czechoslovakia (original member)
Democratic People's Republic of Korea, https://en.wikipedia.org/wiki/Democratic_People%27s_Republic_of_Korea, 17 September 1991, No, Korea and the United Nations
Democratic Republic of the Congo, https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo, 20 September 1960, No, 
Denmark, https://en.wikipedia.org/wiki/Denmark, 24 October 1945, Yes, 
Djibouti, https://en.wikipedia.org/wiki/Djibouti, 20 September 1977, No, 
Dominica, https://en.wikipedia.org/wiki/Dominica, 18 December 1978, No, 
Dominican Republic, https://en.wikipedia.org/wiki/Dominican_Republic, 24 October 1945, Yes, 
Ecuador, https://en.wikipedia.org/wiki/Ecuador, 21 December 1945, Yes, 
Egypt, https://en.wikipedia.org/wiki/Egypt, 24 October 1945, Yes, Former member: United Arab Republic
El Salvador, https://en.wikipedia.org/wiki/El_Salvador, 24 October 1945, Yes, 
Equatorial Guinea, https://en.wikipedia.org/wiki/Equatorial_Guinea, 12 November 1968, No, 
Eritrea, https://en.wikipedia.org/wiki/Eritrea, 28 May 1993, No, 
Estonia, https://en.wikipedia.org/wiki/Estonia, 17 September 1991, No, 
Eswatini, https://en.wikipedia.org/wiki/Eswatini, 24 September 1968, No, 
Ethiopia, https://en.wikipedia.org/wiki/Ethiopia, 13 November 1945, Yes, 
Fiji, https://en.wikipedia.org/wiki/Fiji, 13 October 1970, No, Fiji and the United Nations
Finland, https://en.wikipedia.org/wiki/Finland, 14 December 1955, No, 
France, https://en.wikipedia.org/wiki/France, 24 October 1945, Yes, France and the United Nations
Gabon, https://en.wikipedia.org/wiki/Gabon, 20 September 1960, No, 
Gambia, https://en.wikipedia.org/wiki/The_Gambia, 21 September 1965, No, 
Georgia, https://en.wikipedia.org/wiki/Georgia_(country), 31 July 1992, No, Former member: Union of Soviet Socialist Republics (original member)
Germany, https://en.wikipedia.org/wiki/Germany, 18 September 1973, No, Former member: German Democratic Republic and Germany and the United Nations
Ghana, https://en.wikipedia.org/wiki/Ghana, 8 March 1957, No, 
Greece, https://en.wikipedia.org/wiki/Greece, 25 October 1945, Yes, 
Grenada, https://en.wikipedia.org/wiki/Grenada, 17 September 1974, No, 
Guatemala, https://en.wikipedia.org/wiki/Guatemala, 21 November 1945, Yes, 
Guinea, https://en.wikipedia.org/wiki/Guinea, 12 December 1958, No, 
Guinea-Bissau, https://en.wikipedia.org/wiki/Guinea-Bissau, 17 September 1974, No, 
Guyana, https://en.wikipedia.org/wiki/Guyana, 20 September 1966, No, 
Haiti, https://en.wikipedia.org/wiki/Haiti, 24 October 1945, Yes, 
Honduras, https://en.wikipedia.org/wiki/Honduras, 17 December 1945, Yes, 
Hungary, https://en.wikipedia.org/wiki/Hungary, 14 December 1955, No, 
Iceland, https://en.wikipedia.org/wiki/Iceland, 19 November 1946, No, 
India, https://en.wikipedia.org/wiki/India, 30 October 1945, Yes, India and the United Nations
Indonesia, https://en.wikipedia.org/wiki/Indonesia, 28 September 1950, No, Withdrawal of Indonesia (1965–1966) and Indonesia and the United Nations
Islamic Republic of Iran, https://en.wikipedia.org/wiki/Islamic_Republic_of_Iran, 24 October 1945, Yes, 
Iraq, https://en.wikipedia.org/wiki/Iraq, 21 December 1945, Yes, 
Ireland, https://en.wikipedia.org/wiki/Republic_of_Ireland, 14 December 1955, No, 
Israel, https://en.wikipedia.org/wiki/Israel, 11 May 1949, No, Israel and the United Nations
Italy, https://en.wikipedia.org/wiki/Italy, 14 December 1955, No, 
Jamaica, https://en.wikipedia.org/wiki/Jamaica, 18 September 1962, No, 
Japan, https://en.wikipedia.org/wiki/Japan, 18 December 1956, No, Japan and the United Nations
Jordan, https://en.wikipedia.org/wiki/Jordan, 14 December 1955, No, 
Kazakhstan, https://en.wikipedia.org/wiki/Kazakhstan, 2 March 1992, No, Former member: Union of Soviet Socialist Republics (original member)
Kenya, https://en.wikipedia.org/wiki/Kenya, 16 December 1963, No, 
Kiribati, https://en.wikipedia.org/wiki/Kiribati, 14 September 1999, No, 
Kuwait, https://en.wikipedia.org/wiki/Kuwait, 14 May 1963, No, 
Kyrgyzstan, https://en.wikipedia.org/wiki/Kyrgyzstan, 2 March 1992, No, Former member: Union of Soviet Socialist Republics (original member)
Lao People's Democratic Republic, https://en.wikipedia.org/wiki/Lao_People%27s_Democratic_Republic, 14 December 1955, No, 
Latvia, https://en.wikipedia.org/wiki/Latvia, 17 September 1991, No, 
Lebanon, https://en.wikipedia.org/wiki/Lebanon, 24 October 1945, Yes, Lebanon and the United Nations
Lesotho, https://en.wikipedia.org/wiki/Lesotho, 17 October 1966, No, 
Liberia, https://en.wikipedia.org/wiki/Liberia, 2 November 1945, Yes, 
Libya, https://en.wikipedia.org/wiki/Libya, 14 December 1955, No, On December 12&comma; 2022&comma; the Credentials Committee deferred a decision on allowing the Government of National Stability to represent Libya at the U.N.&comma; allowing the Government of National Unity to retain the seat.
Liechtenstein, https://en.wikipedia.org/wiki/Liechtenstein, 18 September 1990, No, 
Lithuania, https://en.wikipedia.org/wiki/Lithuania, 17 September 1991, No, 
Luxembourg, https://en.wikipedia.org/wiki/Luxembourg, 24 October 1945, Yes, Luxembourg and the United Nations
Madagascar, https://en.wikipedia.org/wiki/Madagascar, 20 September 1960, No, 
Malawi, https://en.wikipedia.org/wiki/Malawi, 1 December 1964, No, 
Malaysia, https://en.wikipedia.org/wiki/Malaysia, 17 September 1957, No, Former member: Federation of Malaya and Malaysia and the United Nations
Maldives, https://en.wikipedia.org/wiki/Maldives, 21 September 1965, No, 
Mali, https://en.wikipedia.org/wiki/Mali, 28 September 1960, No, 
Malta, https://en.wikipedia.org/wiki/Malta, 1 December 1964, No, 
Marshall Islands, https://en.wikipedia.org/wiki/Marshall_Islands, 17 September 1991, No, Marshall Islands and the United Nations
Mauritania, https://en.wikipedia.org/wiki/Mauritania, 27 October 1961, No, 
Mauritius, https://en.wikipedia.org/wiki/Mauritius, 24 April 1968, No, 
Mexico, https://en.wikipedia.org/wiki/Mexico, 7 November 1945, Yes, Mexico and the United Nations
Federated States of Micronesia, https://en.wikipedia.org/wiki/Federated_States_of_Micronesia, 17 September 1991, No, Federated States of Micronesia and the United Nations
Monaco, https://en.wikipedia.org/wiki/Monaco, 28 May 1993, No, 
Mongolia, https://en.wikipedia.org/wiki/Mongolia, 27 October 1961, No, 
Montenegro, https://en.wikipedia.org/wiki/Montenegro, 28 June 2006, No, Former member: Yugoslavia (original member)&comma; Serbia and Montenegro
Morocco, https://en.wikipedia.org/wiki/Morocco, 12 November 1956, No, 
Mozambique, https://en.wikipedia.org/wiki/Mozambique, 16 September 1975, No, 
Myanmar, https://en.wikipedia.org/wiki/Myanmar, 19 April 1948, No, On December 1&comma; 2021&comma; the Credentials Committee of the General Assembly voted to defer a decision to allow Myanmar's ruling military junta to represent the country at the UN. The Credentials Committee again deferred the decision on December 12&comma; 2022.
Namibia, https://en.wikipedia.org/wiki/Namibia, 23 April 1990, No, 
Nauru, https://en.wikipedia.org/wiki/Nauru, 14 September 1999, No, 
Nepal, https://en.wikipedia.org/wiki/Nepal, 14 December 1955, No, 
Netherlands, https://en.wikipedia.org/wiki/Kingdom_of_the_Netherlands, 10 December 1945, Yes, 
New Zealand, https://en.wikipedia.org/wiki/Realm_of_New_Zealand, 24 October 1945, Yes, New Zealand and the United Nations
Nicaragua, https://en.wikipedia.org/wiki/Nicaragua, 24 October 1945, Yes, 
Niger, https://en.wikipedia.org/wiki/Niger, 20 September 1960, No, 
Nigeria, https://en.wikipedia.org/wiki/Nigeria, 7 October 1960, No, 
North Macedonia, https://en.wikipedia.org/wiki/North_Macedonia, 8 April 1993, No, Former member: Yugoslavia (original member)
Norway, https://en.wikipedia.org/wiki/Norway, 27 November 1945, Yes, 
Oman, https://en.wikipedia.org/wiki/Oman, 7 October 1971, No, 
Pakistan, https://en.wikipedia.org/wiki/Pakistan, 30 September 1947, No, Pakistan and the United Nations
Palau, https://en.wikipedia.org/wiki/Palau, 15 December 1994, No, 
Panama, https://en.wikipedia.org/wiki/Panama, 13 November 1945, Yes, 
Papua New Guinea, https://en.wikipedia.org/wiki/Papua_New_Guinea, 10 October 1975, No, 
Paraguay, https://en.wikipedia.org/wiki/Paraguay, 24 October 1945, Yes, 
Peru, https://en.wikipedia.org/wiki/Peru, 31 October 1945, Yes, 
Philippines, https://en.wikipedia.org/wiki/Philippines, 24 October 1945, Yes, Philippines and the United Nations
Poland, https://en.wikipedia.org/wiki/Poland, 24 October 1945, Yes, Poland and the United Nations
Portugal, https://en.wikipedia.org/wiki/Portugal, 14 December 1955, No, 
Qatar, https://en.wikipedia.org/wiki/Qatar, 21 September 1971, No, 
Republic of Korea, https://en.wikipedia.org/wiki/Republic_of_Korea, 17 September 1991, No, Korea and the United Nations
Republic of Moldova, https://en.wikipedia.org/wiki/Republic_of_Moldova, 2 March 1992, No, Former member: Union of Soviet Socialist Republics (original member)
Romania, https://en.wikipedia.org/wiki/Romania, 14 December 1955, No, 
Russian Federation, https://en.wikipedia.org/wiki/Russian_Federation, 24 October 1945, Yes, Former member: Union of Soviet Socialist Republics (Soviet Union and the United Nations) and Russia and the United Nations
Rwanda, https://en.wikipedia.org/wiki/Rwanda, 18 September 1962, No, 
Saint Kitts and Nevis, https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis, 23 September 1983, No, 
Saint Lucia, https://en.wikipedia.org/wiki/Saint_Lucia, 18 September 1979, No, 
Saint Vincent and the Grenadines, https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines, 16 September 1980, No, 
Samoa, https://en.wikipedia.org/wiki/Samoa, 15 December 1976, No, 
San Marino, https://en.wikipedia.org/wiki/San_Marino, 2 March 1992, No, 
São Tomé and Príncipe, https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe, 16 September 1975, No, 
Saudi Arabia, https://en.wikipedia.org/wiki/Saudi_Arabia, 24 October 1945, Yes, 
Senegal, https://en.wikipedia.org/wiki/Senegal, 28 September 1960, No, 
Serbia, https://en.wikipedia.org/wiki/Serbia, 1 November 2000, No, Former member: Yugoslavia (original member)&comma; Serbia and Montenegro&comma; and Serbia and the United Nations
Seychelles, https://en.wikipedia.org/wiki/Seychelles, 21 September 1976, No, 
Sierra Leone, https://en.wikipedia.org/wiki/Sierra_Leone, 27 September 1961, No, 
Singapore, https://en.wikipedia.org/wiki/Singapore, 21 September 1965, No, Former member: Malaysia and Singapore and the United Nations
Slovakia, https://en.wikipedia.org/wiki/Slovakia, 19 January 1993, No, Former member: Czechoslovakia (original member)
Slovenia, https://en.wikipedia.org/wiki/Slovenia, 22 May 1992, No, Former member: Yugoslavia (original member)
Solomon Islands, https://en.wikipedia.org/wiki/Solomon_Islands, 19 September 1978, No, 
Somalia, https://en.wikipedia.org/wiki/Somalia, 20 September 1960, No, 
South Africa, https://en.wikipedia.org/wiki/South_Africa, 7 November 1945, Yes, 
South Sudan, https://en.wikipedia.org/wiki/South_Sudan, 14 July 2011, No, 
Spain, https://en.wikipedia.org/wiki/Spain, 14 December 1955, No, 
Sri Lanka, https://en.wikipedia.org/wiki/Sri_Lanka, 14 December 1955, No, 
Sudan, https://en.wikipedia.org/wiki/Sudan, 12 November 1956, No, 
Suriname, https://en.wikipedia.org/wiki/Suriname, 4 December 1975, No, 
Sweden, https://en.wikipedia.org/wiki/Sweden, 19 November 1946, No, 
Switzerland, https://en.wikipedia.org/wiki/Switzerland, 10 September 2002, No, 
Syrian Arab Republic, https://en.wikipedia.org/wiki/Syrian_Arab_Republic, 24 October 1945, Yes, Former member: United Arab Republic
Tajikistan, https://en.wikipedia.org/wiki/Tajikistan, 2 March 1992, No, Former member: Union of Soviet Socialist Republics (original member)
Thailand, https://en.wikipedia.org/wiki/Thailand, 16 December 1946, No, 
Timor-Leste, https://en.wikipedia.org/wiki/Timor-Leste, 27 September 2002, No, 
Togo, https://en.wikipedia.org/wiki/Togo, 20 September 1960, No, 
Tonga, https://en.wikipedia.org/wiki/Tonga, 14 September 1999, No, 
Trinidad and Tobago, https://en.wikipedia.org/wiki/Trinidad_and_Tobago, 18 September 1962, No, Trinidad and Tobago and the United Nations
Tunisia, https://en.wikipedia.org/wiki/Tunisia, 12 November 1956, No, 
Türkiye, https://en.wikipedia.org/wiki/Turkey, 24 October 1945, Yes, Turkey and the United Nations
Turkmenistan, https://en.wikipedia.org/wiki/Turkmenistan, 2 March 1992, No, Former member: Union of Soviet Socialist Republics (original member)
Tuvalu, https://en.wikipedia.org/wiki/Tuvalu, 5 September 2000, No, Tuvalu and the United Nations
Uganda, https://en.wikipedia.org/wiki/Uganda, 25 October 1962, No, 
Ukraine, https://en.wikipedia.org/wiki/Ukraine, 24 October 1945, Yes, Former member: Ukrainian Soviet Socialist Republic
United Arab Emirates, https://en.wikipedia.org/wiki/United_Arab_Emirates, 9 December 1971, No, 
United Kingdom of Great Britain and Northern Ireland, https://en.wikipedia.org/wiki/United_Kingdom_of_Great_Britain_and_Northern_Ireland, 24 October 1945, Yes, United Kingdom and the United Nations
United Republic of Tanzania, https://en.wikipedia.org/wiki/United_Republic_of_Tanzania, 14 December 1961, No, Former member: Zanzibar
United States of America, https://en.wikipedia.org/wiki/United_States_of_America, 24 October 1945, Yes, United States and the United Nations
Uruguay, https://en.wikipedia.org/wiki/Uruguay, 18 December 1945, Yes, 
Uzbekistan, https://en.wikipedia.org/wiki/Uzbekistan, 2 March 1992, No, Former member: Union of Soviet Socialist Republics (original member)
Vanuatu, https://en.wikipedia.org/wiki/Vanuatu, 15 September 1981, No, Vanuatu and the United Nations
Bolivarian Republic of Venezuela, https://en.wikipedia.org/wiki/Bolivarian_Republic_of_Venezuela, 15 November 1945, Yes, 
Viet Nam, https://en.wikipedia.org/wiki/Viet_Nam, 20 September 1977, No, 
Yemen, https://en.wikipedia.org/wiki/Yemen, 30 September 1947, No, Former members: Yemen and People's Democratic Republic of Yemen
Zambia, https://en.wikipedia.org/wiki/Zambia, 1 December 1964, No, 
Zimbabwe, https://en.wikipedia.org/wiki/Zimbabwe, 25 August 1980, No, 
