大田区, https://en.wikipedia.org/wiki/%E5%A4%A7%E7%94%B0%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Ota%2C_Tokyo.svg/35px-Flag_of_Ota%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Emblem_of_%C5%8Cta%2C_Tokyo.svg/25px-Emblem_of_%C5%8Cta%2C_Tokyo.svg.png, 25, 17, 745&comma;329人, 60.83km², 12&comma;253, ōta, 35.561389, 139.716111 
世田谷区, https://en.wikipedia.org/wiki/%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Flag_of_Setagaya%2C_Tokyo.svg/35px-Flag_of_Setagaya%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%BA%E7%AB%A0.svg/25px-%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%BA%E7%AB%A0.svg.png, 25, 25, 940&comma;071人, 58.05km², 16&comma;194, setagaya, 35.64656, 139.65322 
渋谷区, https://en.wikipedia.org/wiki/%E6%B8%8B%E8%B0%B7%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Shibuya%2C_Tokyo.svg/35px-Flag_of_Shibuya%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Emblem_of_Shibuya%2C_Tokyo.svg/25px-Emblem_of_Shibuya%2C_Tokyo.svg.png, 25, 26, 243&comma;480人, 15.11km², 16&comma;114, shibuya, 35.66367, 139.69772 
中野区, https://en.wikipedia.org/wiki/%E4%B8%AD%E9%87%8E%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Nakano%2C_Tokyo.svg/35px-Flag_of_Nakano%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Emblem_of_Nakano%2C_Tokyo.svg/25px-Emblem_of_Nakano%2C_Tokyo.svg.png, 25, 26, 346&comma;126人, 15.59km², 22&comma;202, nakano, 35.70728, 139.66375 
杉並区, https://en.wikipedia.org/wiki/%E6%9D%89%E4%B8%A6%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Flag_of_Suginami%2C_Tokyo.svg/35px-Flag_of_Suginami%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Emblem_of_Suginami%2C_Tokyo.svg/25px-Emblem_of_Suginami%2C_Tokyo.svg.png, 25, 25, 589&comma;703人, 34.06km², 17&comma;314, suginami, 35.6994, 139.6364 
豊島区, https://en.wikipedia.org/wiki/%E8%B1%8A%E5%B3%B6%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Flag_of_Toshima%2C_Tokyo.svg/35px-Flag_of_Toshima%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Emblem_of_Toshima%2C_Tokyo.svg/25px-Emblem_of_Toshima%2C_Tokyo.svg.png, 25, 25, 305&comma;189人, 13.01km², 23&comma;458, toshima, 35.7261, 139.7167 
北区, https://en.wikipedia.org/wiki/%E5%8C%97%E5%8C%BA_(%E6%9D%B1%E4%BA%AC%E9%83%BD), https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Kita%2C_Tokyo.svg/35px-Flag_of_Kita%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Emblem_of_Kita%2C_Tokyo.svg/25px-Emblem_of_Kita%2C_Tokyo.svg.png, 25, 18, 358&comma;203人, 20.61km², 17&comma;380,kita, 35.75281, 139.73356 
荒川区, https://en.wikipedia.org/wiki/%E8%8D%92%E5%B7%9D%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Flag_of_Arakawa%2C_Tokyo.svg/35px-Flag_of_Arakawa%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Emblem_of_Arakawa%2C_Tokyo.svg/25px-Emblem_of_Arakawa%2C_Tokyo.svg.png, 25, 25, 219&comma;299人, 10.16km², 21&comma;585, arakawa, 35.73611, 139.78339 
板橋区, https://en.wikipedia.org/wiki/%E6%9D%BF%E6%A9%8B%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Flag_of_Itabashi%2C_Tokyo.svg/35px-Flag_of_Itabashi%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Emblem_of_Itabashi%2C_Tokyo.svg/25px-Emblem_of_Itabashi%2C_Tokyo.svg.png, 25, 25, 585&comma;109人, 32.22km², 18&comma;160, itabashi, 35.75119, 139.70928 
練馬区, https://en.wikipedia.org/wiki/%E7%B7%B4%E9%A6%AC%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_Nerima%2C_Tokyo.svg/35px-Flag_of_Nerima%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Emblem_of_Nerima%2C_Tokyo.svg/25px-Emblem_of_Nerima%2C_Tokyo.svg.png, 25, 25, 752&comma;174人, 48.08km², 15&comma;644, nerima, 35.73553, 139.65169 
足立区, https://en.wikipedia.org/wiki/%E8%B6%B3%E7%AB%8B%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Adachi%2C_Tokyo.svg/35px-Flag_of_Adachi%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Emblem_of_Adachi%2C_Tokyo.svg/25px-Emblem_of_Adachi%2C_Tokyo.svg.png, 25, 25, 695&comma;771人, 53.25km², 13&comma;066, adachi, 35.77494, 139.80436 
葛飾区, https://en.wikipedia.org/wiki/%E8%91%9B%E9%A3%BE%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Katsushika-ku%2C_Tokyo.svg/35px-Flag_of_Katsushika-ku%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Emblem_of_Katsushika%2C_Tokyo.svg/25px-Emblem_of_Katsushika%2C_Tokyo.svg.png, 25, 25, 455&comma;361人, 34.80km², 13&comma;085, katsushika, 35.74344, 139.84717 
江戸川区, https://en.wikipedia.org/wiki/%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA, https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_Edogawa%2C_Tokyo.svg/35px-Flag_of_Edogawa%2C_Tokyo.svg.png, 35, 23, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Emblem_of_Edogawa%2C_Tokyo.svg/25px-Emblem_of_Edogawa%2C_Tokyo.svg.png, 25, 25, 690&comma;524人, 49.90km², 13&comma;838, edogawa, 35.70664, 139.86828 
